ID_TBED,Birth_Group_TBED,First_Seen_Group_TBED,Final_Group_TBED,Sex,BirthDate,immigration_date,First_date,LastSeenDate,DeathDate,Final_date,TB_death,Final_age,Final_age_years,final_age_accurate,TB_final_status,TB_signs_date,TB_signs_group_TBED,TB_exposure_date,TB_exposed_group_TBED,TB_exposure_type,TB_date_Birthgroup,TB_date_immigrated_group,TB_date_Final_group
ID_1344,Group_152,NA,Group_152,M,21/01/1999,NA,21/01/1999,03/05/1999,03/05/1999,03/05/1999,FALSE,102,0.28,TRUE,unexposed,NA,NA,NA,NA,none,16/07/1999,NA,16/07/1999
ID_1403,Group_152,NA,Group_152,U,21/01/1999,NA,21/01/1999,28/02/1999,28/02/1999,28/02/1999,FALSE,38,0.1,TRUE,unexposed,NA,NA,NA,NA,none,16/07/1999,NA,16/07/1999
ID_2577,Group_152,NA,NA,U,14/08/1999,NA,14/08/1999,06/09/1999,14/09/1999,14/09/1999,FALSE,31,0.08,TRUE,exposed_asymptomatic,NA,NA,14/08/1999,Group_152,Birthdate,16/07/1999,NA,NA
ID_2578,Group_152,NA,NA,U,14/08/1999,NA,14/08/1999,06/09/1999,14/09/1999,14/09/1999,FALSE,31,0.08,TRUE,exposed_asymptomatic,NA,NA,14/08/1999,Group_152,Birthdate,16/07/1999,NA,NA
ID_2112,Group_152,NA,NA,U,14/08/1999,NA,14/08/1999,06/09/1999,14/09/1999,14/09/1999,FALSE,31,0.08,TRUE,exposed_asymptomatic,NA,NA,14/08/1999,Group_152,Birthdate,16/07/1999,NA,NA
ID_1474,Group_152,NA,Group_152,U,14/08/1999,NA,14/08/1999,16/09/1999,19/09/1999,19/09/1999,FALSE,36,0.1,TRUE,exposed_asymptomatic,NA,NA,14/08/1999,Group_152,Birthdate,16/07/1999,NA,16/07/1999
ID_1120,Group_152,NA,Group_152,U,03/11/1999,NA,03/11/1999,30/11/1999,18/12/1999,18/12/1999,FALSE,45,0.12,TRUE,exposed_asymptomatic,NA,NA,03/11/1999,Group_152,Birthdate,16/07/1999,NA,16/07/1999
ID_1935,Group_152,NA,Group_152,U,03/11/1999,NA,03/11/1999,30/11/1999,18/12/1999,18/12/1999,FALSE,45,0.12,TRUE,exposed_asymptomatic,NA,NA,03/11/1999,Group_152,Birthdate,16/07/1999,NA,16/07/1999
ID_818,Group_152,NA,Group_152,U,03/11/1999,NA,03/11/1999,30/11/1999,18/12/1999,18/12/1999,FALSE,45,0.12,TRUE,exposed_asymptomatic,NA,NA,03/11/1999,Group_152,Birthdate,16/07/1999,NA,16/07/1999
ID_2449,Group_152,NA,Group_152,U,03/11/1999,NA,03/11/1999,30/11/1999,18/12/1999,18/12/1999,FALSE,45,0.12,TRUE,exposed_asymptomatic,NA,NA,03/11/1999,Group_152,Birthdate,16/07/1999,NA,16/07/1999
ID_2299,NA,Group_111,Group_111,F,NA,18/10/2002,18/10/2002,18/01/2003,01/04/2003,01/04/2003,FALSE,165,0.45,FALSE,unexposed,NA,NA,NA,NA,none,NA,NA,NA
ID_596,Group_111,NA,Group_111,F,18/09/2002,NA,18/09/2002,29/11/2002,01/12/2002,01/12/2002,FALSE,74,0.2,TRUE,unexposed,NA,NA,NA,NA,none,NA,NA,NA
ID_3076,Group_111,NA,Group_111,F,18/09/2002,NA,18/09/2002,10/09/2003,16/09/2003,16/09/2003,FALSE,363,0.99,TRUE,unexposed,NA,NA,NA,NA,none,NA,NA,NA
ID_1978,NA,Group_111,Group_111,M,NA,18/10/2002,18/10/2002,08/11/2002,17/11/2002,17/11/2002,FALSE,30,0.08,FALSE,unexposed,NA,NA,NA,NA,none,NA,NA,NA
ID_1387,Group_22,NA,Group_22,F,02/01/1996,NA,02/01/1996,16/01/1997,17/01/1997,17/01/1997,FALSE,381,1.04,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_3305,Group_22,NA,NA,F,02/01/1996,NA,02/01/1996,12/11/1996,13/11/1996,13/11/1996,FALSE,316,0.87,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,NA
ID_85,Group_22,NA,Group_147,F,02/01/1996,NA,02/01/1996,15/03/2000,07/04/2000,07/04/2000,FALSE,1557,4.26,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,NA
ID_1043,Group_22,NA,Group_147,F,02/01/1996,NA,02/01/1996,20/09/1999,05/10/1999,05/10/1999,FALSE,1372,3.76,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,NA
ID_2209,Group_22,NA,Group_42,F,02/01/1996,NA,02/01/1996,21/02/2004,23/02/2004,23/02/2004,FALSE,2974,8.14,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,18/01/2005
ID_2608,Group_22,NA,Group_22,F,20/03/1996,NA,20/03/1996,10/07/1997,13/07/1997,13/07/1997,FALSE,480,1.31,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_2270,Group_22,NA,Group_69,F,11/12/1996,NA,11/12/1996,24/10/1999,20/09/1999,24/10/1999,FALSE,1047,2.87,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,08/02/2007
ID_1896,Group_22,NA,Group_69,F,11/12/1996,NA,11/12/1996,18/09/2000,19/09/2000,19/09/2000,FALSE,1378,3.77,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,08/02/2007
ID_2594,Group_22,NA,Group_69,F,11/12/1996,NA,11/12/1996,02/11/1998,04/11/1998,04/11/1998,FALSE,693,1.9,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,08/02/2007
ID_147,Group_22,NA,Group_69,F,26/02/1997,NA,26/02/1997,23/09/1999,23/09/1999,23/09/1999,FALSE,939,2.57,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,08/02/2007
ID_943,Group_22,NA,Group_94,F,26/02/1997,NA,26/02/1997,21/04/2002,28/04/2002,28/04/2002,TRUE,1887,5.17,TRUE,exposed_signs,19/10/1999,Group_94,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,19/10/1999
ID_1209,Group_22,NA,Group_94,F,26/02/1997,NA,26/02/1997,17/09/2000,22/09/2000,22/09/2000,FALSE,1304,3.57,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,19/10/1999
ID_3415,Group_22,NA,Group_94,F,01/11/1997,NA,01/11/1997,04/05/2000,05/05/2000,05/05/2000,FALSE,916,2.51,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,19/10/1999
ID_908,Group_22,NA,Group_15,F,01/11/1997,NA,01/11/1997,07/03/2006,16/09/1999,16/09/1999,TRUE,684,1.87,TRUE,exposed_signs,27/06/1999,Group_22,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,05/03/2006
ID_918,Group_22,NA,Group_22,F,01/11/1997,NA,01/11/1997,04/11/2001,05/11/2001,05/11/2001,FALSE,1465,4.01,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_1262,Group_22,NA,Group_22,F,21/01/1998,NA,21/01/1998,18/11/2000,27/11/2000,27/11/2000,FALSE,1041,2.85,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_736,Group_22,NA,Group_22,F,31/07/1998,NA,31/07/1998,18/11/2000,27/11/2000,27/11/2000,FALSE,850,2.33,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_2116,Group_22,NA,Group_22,F,31/07/1998,NA,31/07/1998,25/09/1999,26/09/1999,26/09/1999,FALSE,422,1.16,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_816,Group_22,NA,Group_22,F,20/10/1998,NA,20/10/1998,24/04/1999,26/04/1999,26/04/1999,FALSE,188,0.51,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_927,Group_22,NA,Group_22,F,20/10/1998,NA,20/10/1998,18/11/2000,27/11/2000,27/11/2000,FALSE,769,2.11,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_845,Group_22,NA,Group_22,F,03/01/1999,NA,03/01/1999,06/01/2002,05/12/2001,05/12/2001,FALSE,1067,2.92,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_3418,Group_22,NA,Group_47,F,21/01/1999,NA,21/01/1999,13/11/2002,17/11/2002,17/11/2002,FALSE,1396,3.82,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,NA
ID_186,Group_22,NA,Group_22,F,20/01/1999,NA,20/01/1999,14/03/1999,14/03/1999,14/03/1999,FALSE,53,0.15,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_2906,Group_22,NA,Group_94,F,21/01/1999,NA,21/01/1999,10/10/2000,22/09/2000,10/10/2000,FALSE,628,1.72,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,19/10/1999
ID_977,Group_22,NA,Group_22,F,29/04/1999,NA,29/04/1999,04/11/2001,05/11/2001,05/11/2001,FALSE,921,2.52,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_1284,Group_22,NA,Group_94,F,29/04/1999,NA,29/04/1999,13/07/2000,16/07/2000,16/07/2000,FALSE,444,1.22,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,19/10/1999
ID_2841,Group_22,NA,Group_94,F,18/08/1999,NA,18/08/1999,16/09/2000,22/09/2000,22/09/2000,FALSE,401,1.1,TRUE,exposed_asymptomatic,NA,NA,18/08/1999,Group_22,Birthdate,27/06/1999,NA,19/10/1999
ID_3127,Group_22,NA,Group_22,F,18/08/1999,NA,18/08/1999,03/11/2000,03/11/2000,03/11/2000,FALSE,443,1.21,TRUE,exposed_asymptomatic,NA,NA,18/08/1999,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_112,Group_22,NA,Group_22,F,21/08/1999,NA,21/08/1999,12/10/1999,14/10/1999,14/10/1999,FALSE,54,0.15,TRUE,exposed_asymptomatic,NA,NA,21/08/1999,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_379,Group_22,NA,Group_47,F,11/11/1999,NA,11/11/1999,13/11/2002,17/11/2002,17/11/2002,FALSE,1102,3.02,TRUE,exposed_asymptomatic,NA,NA,11/11/1999,Group_22,Birthdate,27/06/1999,NA,NA
ID_906,Group_22,NA,Group_47,F,06/03/2000,NA,06/03/2000,13/11/2002,17/11/2002,17/11/2002,FALSE,986,2.7,TRUE,exposed_asymptomatic,NA,NA,06/03/2000,Group_22,Birthdate,27/06/1999,NA,NA
ID_600,Group_22,NA,Group_47,F,22/07/2000,NA,22/07/2000,13/11/2002,17/11/2002,17/11/2002,FALSE,848,2.32,TRUE,exposed_asymptomatic,NA,NA,22/07/2000,Group_22,Birthdate,27/06/1999,NA,NA
ID_1632,Group_22,NA,Group_47,F,08/10/2000,NA,08/10/2000,13/11/2002,16/10/2002,16/10/2002,FALSE,738,2.02,TRUE,exposed_asymptomatic,NA,NA,08/10/2000,Group_22,Birthdate,27/06/1999,NA,NA
ID_973,Group_22,NA,Group_22,F,22/03/2001,NA,22/03/2001,19/10/2003,07/11/2003,07/11/2003,FALSE,960,2.63,TRUE,exposed_asymptomatic,NA,NA,22/03/2001,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1842,Group_22,NA,Group_22,F,22/03/2001,NA,22/03/2001,04/11/2003,06/11/2003,06/11/2003,FALSE,959,2.63,TRUE,exposed_asymptomatic,NA,NA,22/03/2001,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2833,Group_22,NA,Group_22,F,22/03/2001,NA,22/03/2001,06/10/2003,07/11/2003,07/11/2003,FALSE,960,2.63,TRUE,exposed_asymptomatic,NA,NA,22/03/2001,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2093,Group_22,NA,Group_22,F,19/09/2001,NA,19/09/2001,29/09/2003,07/11/2003,07/11/2003,FALSE,779,2.13,TRUE,exposed_asymptomatic,NA,NA,19/09/2001,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1724,Group_22,NA,Group_22,F,23/11/2001,NA,23/11/2001,05/11/2007,07/11/2007,07/11/2007,FALSE,2175,5.95,TRUE,exposed_asymptomatic,NA,NA,23/11/2001,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2873,Group_22,NA,Group_22,F,23/11/2001,NA,23/11/2001,21/03/2002,21/03/2002,21/03/2002,FALSE,118,0.32,TRUE,exposed_asymptomatic,NA,NA,23/11/2001,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_485,Group_22,NA,Group_22,F,03/02/2002,NA,03/02/2002,10/10/2003,09/11/2003,09/11/2003,FALSE,644,1.76,TRUE,exposed_asymptomatic,NA,NA,03/02/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2423,Group_22,NA,Group_22,F,03/02/2002,NA,03/02/2002,19/11/2003,02/12/2003,02/12/2003,FALSE,667,1.83,TRUE,exposed_asymptomatic,NA,NA,03/02/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_3310,Group_22,NA,Group_22,F,03/02/2002,NA,03/02/2002,27/09/2002,29/09/2002,29/09/2002,FALSE,238,0.65,TRUE,exposed_asymptomatic,NA,NA,03/02/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_808,Group_22,NA,Group_22,F,05/05/2002,NA,05/05/2002,26/11/2003,26/11/2003,26/11/2003,FALSE,570,1.56,TRUE,exposed_asymptomatic,NA,NA,05/05/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_550,Group_22,NA,Group_22,F,12/09/2002,NA,12/09/2002,16/05/2004,04/03/2004,16/05/2004,FALSE,612,1.68,TRUE,exposed_asymptomatic,NA,NA,12/09/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1558,Group_22,NA,Group_22,F,12/09/2002,NA,12/09/2002,19/08/2004,17/08/2004,17/08/2004,FALSE,705,1.93,TRUE,exposed_asymptomatic,NA,NA,12/09/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2019,Group_22,NA,Group_22,F,12/09/2002,NA,12/09/2002,24/11/2002,30/11/2002,30/11/2002,FALSE,79,0.22,TRUE,exposed_asymptomatic,NA,NA,12/09/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_445,Group_22,NA,Group_22,F,29/11/2002,NA,29/11/2002,15/01/2006,15/01/2006,15/01/2006,FALSE,1143,3.13,TRUE,exposed_asymptomatic,NA,NA,29/11/2002,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_611,Group_22,NA,Group_22,F,01/03/2003,NA,01/03/2003,19/11/2003,15/11/2003,19/11/2003,FALSE,263,0.72,TRUE,exposed_asymptomatic,NA,NA,01/03/2003,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1160,Group_22,NA,Group_22,F,19/03/2004,NA,19/03/2004,15/01/2006,15/01/2006,15/01/2006,FALSE,667,1.83,TRUE,exposed_asymptomatic,NA,NA,19/03/2004,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_3247,Group_22,NA,Group_10,F,08/07/2004,NA,08/07/2004,13/08/2006,11/09/2006,11/09/2006,FALSE,795,2.18,TRUE,exposed_asymptomatic,NA,NA,08/07/2004,Group_22,Birthdate,27/06/1999,NA,NA
ID_1780,Group_22,NA,Group_26,F,08/07/2004,NA,08/07/2004,18/06/2007,04/07/2007,04/07/2007,FALSE,1091,2.99,TRUE,exposed_asymptomatic,NA,NA,08/07/2004,Group_22,Birthdate,27/06/1999,NA,01/02/2003
ID_3317,Group_22,NA,Group_22,F,04/03/2005,NA,04/03/2005,21/05/2005,22/05/2005,22/05/2005,FALSE,79,0.22,TRUE,exposed_asymptomatic,NA,NA,04/03/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2017,Group_22,NA,Group_22,F,04/03/2005,NA,04/03/2005,15/05/2005,17/05/2005,17/05/2005,FALSE,74,0.2,TRUE,exposed_asymptomatic,NA,NA,04/03/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1024,Group_22,NA,Group_22,F,02/03/2005,NA,02/03/2005,25/08/2005,26/08/2005,26/08/2005,FALSE,177,0.48,TRUE,exposed_asymptomatic,NA,NA,02/03/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_3066,Group_22,NA,Group_22,F,04/03/2005,NA,04/03/2005,17/11/2007,17/11/2007,17/11/2007,FALSE,988,2.7,TRUE,exposed_asymptomatic,NA,NA,04/03/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1783,Group_22,NA,Group_22,F,15/08/2005,NA,15/08/2005,14/04/2006,24/04/2006,24/04/2006,FALSE,252,0.69,TRUE,exposed_asymptomatic,NA,NA,15/08/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_3055,Group_22,NA,Group_22,F,16/12/2005,NA,16/12/2005,05/11/2007,07/11/2007,07/11/2007,TRUE,691,1.89,TRUE,exposed_signs,05/09/2007,Group_22,16/12/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_2737,Group_22,NA,Group_22,F,16/12/2005,NA,16/12/2005,17/11/2007,17/11/2007,17/11/2007,FALSE,701,1.92,TRUE,exposed_asymptomatic,NA,NA,16/12/2005,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_618,Group_22,NA,Group_115,M,02/01/1996,NA,02/01/1996,15/01/1998,29/07/1996,15/01/1998,FALSE,744,2.04,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,17/12/2007
ID_475,Group_22,NA,Group_22,M,02/01/1996,NA,02/01/1996,18/01/1997,18/01/1997,18/01/1997,FALSE,382,1.05,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_199,Group_22,NA,Group_45,M,02/01/1996,NA,02/01/1996,02/10/1998,08/10/1998,08/10/1998,FALSE,1010,2.77,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,18/03/2003
ID_1440,Group_22,NA,Group_71,M,20/03/1996,NA,20/03/1996,10/10/1999,17/10/1999,17/10/1999,FALSE,1306,3.58,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,NA
ID_1708,Group_22,NA,Group_46,M,20/03/1996,NA,20/03/1996,04/12/2005,01/12/2005,04/12/2005,FALSE,3546,9.71,TRUE,exposed_asymptomatic,NA,NA,20/07/2005,Group_26,group_change,27/06/1999,NA,20/11/2006
ID_571,Group_22,NA,Group_22,M,11/12/1996,NA,11/12/1996,17/01/1999,22/12/1998,22/12/1998,FALSE,741,2.03,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_2956,Group_22,NA,Group_22,M,26/02/1997,NA,26/02/1997,12/09/2000,24/09/2000,24/09/2000,FALSE,1306,3.58,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_781,Group_22,NA,Group_22,M,26/02/1997,NA,26/02/1997,17/10/1997,18/10/1997,18/10/1997,FALSE,234,0.64,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_2201,Group_22,NA,Group_71,M,15/08/1997,NA,15/08/1997,08/04/1999,11/04/1999,11/04/1999,FALSE,604,1.65,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,NA
ID_905,Group_22,NA,Group_71,M,15/08/1997,NA,15/08/1997,10/10/1999,17/10/1999,17/10/1999,FALSE,793,2.17,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,NA
ID_480,Group_22,NA,Group_42,M,01/11/1997,NA,01/11/1997,17/02/2005,18/02/2005,18/02/2005,FALSE,2666,7.3,TRUE,exposed_signs,18/01/2005,Group_42,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,18/01/2005
ID_605,Group_22,NA,Group_22,M,21/01/1998,NA,21/01/1998,13/05/1999,13/05/1999,13/05/1999,FALSE,477,1.31,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_1014,Group_22,NA,Group_42,M,21/01/1998,NA,21/01/1998,24/11/2003,25/11/2003,25/11/2003,FALSE,2134,5.84,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,18/01/2005
ID_117,Group_22,NA,Group_42,M,21/01/1998,NA,21/01/1998,14/08/2005,15/08/2005,15/08/2005,TRUE,2763,7.56,TRUE,exposed_signs,16/07/2005,Group_42,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,18/01/2005
ID_443,Group_22,NA,Group_22,M,31/07/1998,NA,31/07/1998,12/09/2000,24/09/2000,24/09/2000,FALSE,786,2.15,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_2924,Group_22,NA,Group_22,M,20/10/1998,NA,20/10/1998,22/11/1999,23/11/1999,23/11/1999,FALSE,399,1.09,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_641,Group_22,NA,Group_73,M,20/10/1998,NA,20/10/1998,24/06/2003,25/06/2003,25/06/2003,FALSE,1709,4.68,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,13/03/2006
ID_1138,Group_22,NA,Group_22,M,03/01/1999,NA,03/01/1999,12/09/2000,24/09/2000,24/09/2000,FALSE,630,1.72,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_220,Group_22,NA,Group_22,M,03/01/1999,NA,03/01/1999,16/03/1999,16/03/1999,16/03/1999,FALSE,72,0.2,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_1086,Group_22,NA,Group_22,M,03/01/1999,NA,03/01/1999,24/05/2006,16/07/2002,16/07/2002,FALSE,1290,3.53,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_2340,Group_22,NA,Group_22,M,20/01/1999,NA,20/01/1999,26/03/1999,30/03/1999,30/03/1999,FALSE,69,0.19,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_1940,Group_22,NA,Group_22,M,21/01/1999,NA,21/01/1999,12/09/2000,24/09/2000,24/09/2000,FALSE,612,1.68,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,27/06/1999
ID_198,Group_22,NA,Group_22,M,21/01/1999,NA,21/01/1999,07/03/1999,08/03/1999,08/03/1999,FALSE,46,0.13,TRUE,unexposed,NA,NA,NA,NA,none,27/06/1999,NA,27/06/1999
ID_1076,Group_22,NA,Group_73,M,29/04/1999,NA,29/04/1999,08/05/2003,27/04/2003,08/05/2003,FALSE,1470,4.02,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,13/03/2006
ID_1123,Group_22,NA,Group_73,M,29/04/1999,NA,29/04/1999,01/04/2002,20/03/2002,01/04/2002,FALSE,1068,2.92,TRUE,exposed_asymptomatic,NA,NA,27/06/1999,Group_22,ResidentGroup,27/06/1999,NA,13/03/2006
ID_1131,Group_22,NA,Group_94,M,18/08/1999,NA,18/08/1999,20/11/2001,28/11/2001,28/11/2001,TRUE,833,2.28,TRUE,exposed_asymptomatic,NA,NA,18/08/1999,Group_22,Birthdate,27/06/1999,NA,19/10/1999
ID_3256,Group_22,NA,Group_22,M,21/08/1999,NA,21/08/1999,13/10/1999,14/10/1999,14/10/1999,FALSE,54,0.15,TRUE,exposed_asymptomatic,NA,NA,21/08/1999,Group_22,Birthdate,27/06/1999,NA,27/06/1999
ID_1063,Group_22,NA,Group_73,M,11/11/1999,NA,11/11/1999,26/07/2002,03/07/2002,03/07/2002,FALSE,965,2.64,TRUE,exposed_asymptomatic,NA,NA,11/11/1999,Group_22,Birthdate,27/06/1999,NA,13/03/2006
